Celeb Name,Age of Death,Average Percentage of Happy,Happiness Category,Sex,Year born
Jack Higgins,92,33.42%,2,m,1929
Anthony Esposito,78,33.78%,2,m,1943
Carl Thompson,53,33.98%,2,m,1968
Stanley Crouch,74,34.27%,3,m,1945
Jossara Jinaro,48,34.36%,2,f,1973
Sarah Weddington,76,34.42%,2,f,1945
Luke Perry,52,34.59%,2,m,1966
Melvin Van Peebles,89,34.66%,2,m,1932
Regis Philbin,88,34.96%,2,m,1931
Billy Graham,99,35.30%,2,m,1918
Jim Seals,79,35.44%,2,m,1941
George H.W. Bush,94,36.11%,2,m,1924
Phil Spector,80,36.29%,3,m,1939
Alan White,72,36.38%,2,m,1949
Louie Anderson,68,36.58%,2,m,1953
Richard Trumpka,72,37.40%,2,m,1949
Charlie Watts,80,38.12%,2,m,1941
Gavin MacLeod,90,39.29%,2,m,1931
Richard Donner,91,40.06%,3,m,1930
Jacques Chirac,86,40.14%,3,m,1932
Peter Bogdanovich,82,41.08%,3,m,1939
Nichelle Nichols,89,42.08%,3,f,1932
Burt Reynolds,82,42.73%,3,m,1936
Naomi Judd,76,42.77%,3,f,1946
Rebecca Balding,73,42.77%,3,f,1948
Howard Hesseman,81,43.31%,3,m,1940
Jackie Mason,85,43.88%,3,m,1928
Steve Dalkowski,80,44.64%,3,m,1939
Ashley Massaro,39,44.72%,3,f,1979
Willard Scott,87,44.73%,3,m,1934
Maury Wills,89,45.12%,3,m,1932
Rusty Staub,73,45.23%,3,m,1944
Neal Conan,74,46.09%,3,m,1949
Joe Turkel,94,46.16%,3,m,1927
Morton Sahl,94,46.76%,3,m,1927
Dan Reeves,77,46.80%,3,m,1944
Emilio Delgado,81,47.26%,3,m,1940
Danny Aiello,86,47.65%,3,m,1933
Kenny Rogers,81,47.75%,3,m,1938
Peter Tork,77,47.75%,3,m,1942
Meat Loaf,74,47.76%,3,m,1947
Jay Black,82,48.07%,3,m,1938
Richard Williams,77,48.37%,3,m,1942
Kangol Kid,55,48.85%,3,m,1966
Stu Rasmussen,73,49.14%,3,m,1948
King Kong Bundy,64,49.32%,3,m,1955
Jimmy Johnson,76,49.49%,3,m,1943
Robert Mugabe,95,49.52%,3,m,1924
Dewey LaMarr Hoyt Jr.,66,49.67%,3,m,1955
R. Lee Ermey,74,49.84%,3,m,1944
Christopher Plummer,91,49.88%,3,m,1929
Mohammed Yusuf Khan,98,49.93%,3,m,1922
William Freehan,79,50%,3,m,1941
Tony Dow,77,50.36%,3,m,1945
Chuck Yeager,97,50.46%,3,m,1923
Peter Buck,90,51.10%,3,m,1930
Lina Wertmuller,93,51.41%,3,f,1928
Steven Bochco,74,51.60%,3,m,1943
Toni Morrison,88,52.37%,3,m,1931
Beverly Joanne Linville,93,52.62%,3,f,1928
Whitey Ford,91,53%,3,f,1928
Bobby Unser,87,53.59%,3,m,1934
Ned Eisenberg,65,54.40%,3,m,1957
Ronald Popeil,86,54.56%,3,m,1935
Mike Bossy,65,55.15%,4,m,1957
Max Wright,75,57.47%,3,m,1943
Jerry Lawson,78,58.39%,3,m,1944
Russell Baker,93,58.63%,3,m,1925
Jane Powell,92,60.42%,4,f,1929
Jean-Paul Belmondo,88,61.04%,4,m,1933
Raffaella Maria Roberta Pelloni,78,61.54%,4,f,1943
Bob Saget,65,61.62%,4,m,1956
Ian Holm,88,62.20%,4,m,1931
Albert Finney,82,62.34%,4,m,1936
Sally Ann Howes,91,62.34%,4,f,1930
Harry Reid,82,62.52%,4,m,1939
George Wein,95,62.71%,4,m,1925
Tom Weiskopf,79,62.72%,4,m,1942
Elijah Cummings,68,63.02%,4,m,1951
Paul Westphal,70,63.05%,4,m,1950
Michail Theodorakis,96,63.15%,4,m,1925
Daryle Lamonica,80,63.25%,4,m,1941
Bob Einstein,76,63.45%,4,m,1942
Traci Braxton,50,63.47%,4,f,1971
Art LaFleur,78,63.51%,4,m,1943
Bing Crosby,74,63.79%,4,m,1903
Gilbert Gottfried,67,63.82%,4,m,1955
Keith Jackson,89,64.27%,4,m,1928
James Caan,82,64.43%,4,m,1940
Bob Lanier,73,64.60%,4,m,1948
Betty Davis,76,64.85%,4,f,1944
Earnie Shavers,78,64.97%,4,m,1944
Ted Thompson,68,64.99%,4,m,1953
Mike Enzi,77,65.18%,4,m,1944
Lise Banes,65,65.31%,4,f,1955
Niki Lauda,70,65.47%,4,f,1949
Anne Rice,80,65.52%,4,f,1941
Dustin Diamond,44,65.57%,4,m,1977
Eddie Van Halen,65,65.58%,4,m,1955
Jim Lehrer,85,65.73%,4,m,1934
Little Richard,87,65.78%,4,m,1932
Jerry Stiller,92,66.10%,4,m,1927
Jerry Herman,88,66.19%,4,m,1931
Herman Cain,74,66.31%,4,m,1945
Pierre Cardin,98,66.43%,4,m,1922
Colin Powell,84,66.50%,4,m,1937
Eve Babitz,78,66.58%,4,f,1943
Brittany Murphy,32,66.61%,4,f,1977
Nathaniel Taylor,80,66.65%,4,m,1938
Brian Goldner,58,66.67%,4,m,1963
Charlotte Rae,92,66.68%,4,m,1926
Herman Boone,84,66.68%,4,m,1935
Peter Aykroyd,65,66.80%,4,m,1955
Sally Kellerman,84,66.83%,4,f,1937
Norm MacDonald,57,66.89%,4,m,1959
Gerry Goffin,75,66.93%,4,m,1939
Ivana Trump,73,67.03%,4,f,1949
Joe Jackson,88,67.08%,4,m,1928
Tony Siragusa,55,67.15%,4,m,1967
Gerald Williams,55,67.29%,4,m,1966
Larry Cohen,82,67.29%,4,m,1936
Luther Vandross,54,67.89%,4,m,1951
Angela Lansbury,96,67.93%,4,f,1925
Mel Stottlemyre,77,67.95%,4,m,1941
Lenny Von Dohlen,63,68.00%,4,m,1958
Estelle Harris,93,68.08%,4,f,1928
Michael Nesmith,78,68.24%,4,m,1942
Joao Gilberto,88,69.78%,4,m,1931
Arnold Palmer,87,70.19%,4,m,1929
Sam Jones,88,70.45%,4,m,1954
Philip Baker Hall,90,72.06%,4,m,1931
George Segal,87,72.28%,4,m,1934
Fred Ward,79,72.46%,4,m,1942
Carlos Marin Menchero,53,74.05%,4,m,1968
Roger E. Mosley,83,74.60%,4,m,1938
Manuel Ruben Abimael Guzman Reynoso,86,74.80%,4,m,1934
Shirley Spork,94,74.80%,4,f,1927
Robert Durst,78,74.83%,4,m,1943
Mary Mara,61,76.89%,4,f,1960
Robert Lee Elder,87,77.14%,4,m,1934
Jane Withers,95,77.57%,4,f,1926
Gloria Jean Watkins,69,77.80%,4,f,1952
Maki Kaji,69,79.47%,4,m,1951
Sam Huff,87,80.85%,5,m,1934
Olivia de Havilland,104,81.60%,5,f,1916
Max von Sydow,90,81.66%,5,m,1929
Beth Chapman,57,82.38%,5,f,1967
Hal Holbrook,96,84.57%,5,m,1925
Ruth Tompson,111,84.95%,5,f,1910
John Witherspoon,77,84.96%,5,m,1942
Gary Paulsen,82,85.17%,5,m,1939
Larry King,87,86.62%,5,m,1933
Charles Schulz,77,89.24%,5,m,1922
Leon Spinks,67,89.80%,5,m,1953
John Mahoney,77,90.08%,5,m,1940
Guy Lafleur,70,91.05%,5,m,1951
Rayfield Wright,76,91.45%,5,m,1945
Carl Reiner,98,91.85%,5,m,1922
Bill Macy,97,91.92%,5,m,1922
George Perez,67,92.47%,5,m,1954
Carol Channing,97,92.84%,5,f,1921
Ronnie Spector,78,92.96%,5,f,1943
Len Dawson,87,93.00%,5,m,1935
John McCain,81,94.56%,5,m,1936
Alfred Unser,82,96.66%,5,m,1939
Charles Grodin,86,97.85%,5,m,1935
Cara Williams,96,98.12%,5,f,1925
Paul Sorvino,83,98.33%,5,m,1939
David Koch,79,98.54%,5,m,1940
Fred Neal,77,98.61%,5,m,1942
Loretta Lynn,88,98.78%,5,f,1932
Louise Fletcher,88,98.78%,5,f,1934
B. Smith,70,98.80%,5,f,1949
Sean Connery,90,98.80%,5,m,1930
Tom T. Hall,85,98.93%,5,m,1936
Morton Wayne Thiebaud,101,99.10%,3,m,1920
Cokie Roberts,75,99.27%,5,f,1943
Kirk Douglas,103,99.54%,5,m,1916
Mickey Gilley,86,99.54%,5,m,1936
Chadwick Boseman,43,99.61%,5,m,1976
Mary Tyler Moore,80,99.69%,5,f,1936
Cloris Leachman,94,99.70%,5,f,1926
Betty White,99,99.81%,5,f,1922
Louise Slaughter,88,99.86%,5,f,1929
Orrin Hatch,88,99.88%,5,m,1934
Vera Lynn,103,99.93%,5,f,1917
Bill Withers,81,99.96%,5,m,1938
Rodrigue Gilbert ,80,99.97%,5,m,1941
Valerie Harper,80,99.98%,5,f,1939
Sylvia Miles,94,99.99%,5,f,1924
Denise LaSalle,83,100%,5,f,1934
Vin Scully,94,100%,5,m,1927
